0.9035169866	1528 33
0.9033914761	6078 894
0.9032408456	956 1461
0.9027516088	3799 8
0.9026676798	1586 1587
0.9023757424	8704 301
0.9021367121	518 528
0.9021296733	2754 4122
0.9020199765	13945 370
0.9018669756	2363 893
0.9016859068	364 449 152
0.9013339775	3055 1902
0.9011329810	7018 122
0.9011291601	2749 10537
0.9007815206	2629 2630
0.9005906498	11367 615
0.9002328039	5571 5994
0.8996228280	364 449 4659
0.8995894735	823 824
0.8994731837	5726 1212
0.8992695319	2541 5576
0.8992391068	7028 485
0.8991151886	4952 1069
0.8986555025	5533 5076
0.8983656053	620 883
0.8978638093	3379 10285
0.8975116952	263 15
0.8975042227	604 608
0.8973593363	3640 3117
0.8972121552	1613 1329
0.8970937471	5162 3222
0.8970189612	5176 1672
0.8968881686	3462 2137
0.8966467518	6572 1954
0.8964832138	1528 9
0.8962847729	2662 3743
0.8961784315	1256 1257
0.8961726536	2650 4697
0.8958922841	104 263 2631
0.8952666403	2231 408
0.8949543247	2126 2749
0.8947926079	1878 1879
0.8947355195	3187 276
0.8943052581	233 6497
0.8938668421	2477 620
0.8936973352	2749 3120
0.8931905993	499 2050
0.8930433245	1265 475
0.8928443698	604 391
0.8927615473	774 1831
0.8924367995	121 271
0.8922125483	1634 6017
0.8921373038	1010 295
0.8920945162	2300 459
0.8920114473	3698 3822
0.8918756401	233 244 657
0.8918189017	263 3337
0.8917475734	282 2969
0.8915380304	4765 838
0.8915321774	6013 6014
0.8915319402	1655 1079
0.8913409236	2234 1225
0.8913308817	11741 1528 33
0.8912712731	5399 1864
0.8912558506	604 1278
0.8909901099	1861 1863
0.8908153746	5351 6285
0.8906695816	2148 6264
0.8905329847	2749 1064
0.8905015339	621 8873
0.8904927452	2411 657
0.8904295990	1426 861
0.8900820004	222 3947
0.8899711798	62 2285
0.8898420962	6774 11172
0.8896321256	7442 5071
0.8896304504	2452 883
0.8896159880	4414 2339
0.8895577234	121 690
0.8887428964	275 1079
0.8885107043	6084 608
0.8880640419	104 4430
0.8880151870	270 985
0.8879794501	448 648
0.8874814380	430 1937
0.8872727833	852 893
0.8868465349	1831 362
0.8868072680	174 390
0.8866881553	13882 2630
0.8862665500	1214 2235
0.8862174902	1074 188
0.8861874851	174 944
0.8859754667	2839 2841
0.8859009062	150 7550
0.8858921646	15190 3599
0.8855360775	2319 32
0.8852114013	1004 442
0.8848207611	1074 657
0.8847380211	5516 4057
0.8847158840	1332 3376 3390
0.8842564440	3154 3155
0.8840121665	8198 1672 12876
0.8838572933	2375 1547
0.8834582494	2363 4182
0.8834310231	4176 657
0.8833943279	518 2017
0.8832430189	3278 3750
0.8831545971	861 2396
0.8830595434	4451 4429
0.8830142133	6828 7557
0.8826144480	1849 953
0.8824945006	493 71
0.8819709886	268 404
0.8812090949	4939 4692
0.8807244342	1547 2786
0.8806954617	6110 1396
0.8804433044	7866 6014
0.8804085467	222 2843
0.8803929500	17484 1561
0.8796666556	4625 5917 3529
0.8796493248	4569 703
0.8796164141	2023 260
0.8795415044	2848 82
0.8790745552	1461 5582
0.8789657119	51 404
0.8789094655	3187 33
0.8786869093	5931 4661
0.8784943889	1747 5959
0.8783702251	3305 4767
