Phrase	Combined Score	Phrase Quality Score	Wiki Linking Score	NP Count Score	
string_commitment	2.30092558641	0.8823764257	2	1	
beam_splitter	2.65668477347	0.8822467482	3	1	
nios_ii	2.30058459119	0.8821149102	2	1	
computational_complexity_theory	2.65623976629	0.881951212	3	1	
embedded_devices	1.87805796705	0.8817754319	3	0	
coin_flipping	1.87803757396	0.8817562823	3	0	
joint_sparse_form	2.29997696202	0.8816490043	2	1	
prime_factorization	2.65574384442	0.8816219209	3	1	
rfid_systems	2.29991073605	0.8815982323	2	1	
symmetric_cryptography	2.65518225966	0.881249104	3	1	
digital_watermarking	1.87734430172	0.8811054068	3	0	
modular_multiplication	2.65496093968	0.8811021989	3	1	
ubiquitous_computing	1.8771753608	0.8809468338	3	0	
braid_group	2.65417445485	0.8805802546	3	1	
supply_chain_management	2.6541485981	0.8805630976	3	1	
vernam_cipher	2.65379286773	0.8803270731	3	1	
montgomery_modular	2.29812686987	0.880231185	2	1	
health_care	2.65316316407	0.8799093469	3	1	
ghz_states	2.29765122797	0.8798668609	2	1	
lattice_based	1.62467239251	0.879853461	2	0	
xilinx_virtex	2.29734691307	0.8796338065	2	1	
communication_channel	2.65266623441	0.8795797689	3	1	
handheld_devices	2.65229138399	0.8793311982	3	1	
quantum_cryptography	2.65195187558	0.8791060938	3	1	
heisenberg's_uncertainty_principle	2.65159379981	0.8788687099	3	1	
artificial_neural_networks	2.65117327099	0.8785899641	3	1	
single_photon	1.32544038968	0.8783961133	1	0	
extended_visual_cryptography	2.29525384792	0.8780317044	2	1	
min_entropy	2.65014719727	0.8779100209	3	1	
data_structure	2.64998519302	0.8778026904	3	1	
primitive_subgroups	2.29484678678	0.8777202958	2	1	
data_compression	2.64978174754	0.8776679137	3	1	
long_standing	1.62249698582	0.877498823	2	0	
multi_user	2.64919068985	0.8772764139	3	1	
reference_frames	2.64914855152	0.877248506	3	1	
random_number_generators	2.64802177635	0.876502416	3	1	
timed_release	1.87236113162	0.8764340518	3	0	
white_paper	2.64761878903	0.8762356565	3	1	
white_box_cryptography	2.29289690475	0.8762293693	2	1	
quantum_information	2.64729723726	0.8760228328	3	1	
architectural_enhancements	2.29248878911	0.8759174747	2	1	
law_enforcement	2.64703590954	0.8758498883	3	1	
copyright_protection	2.6469109342	0.8757671867	3	1	
hardware_acceleration	2.64627466088	0.8753461976	3	1	
post_quantum	2.64592622029	0.8751156954	3	1	
strongly_unforgeable	0.935343629582	0.8748677054	0	0	
atomic_proxy	2.29083151458	0.8746515047	2	1	
advanced_encryption_standard	1.61961679032	0.8743861825	2	0	
information_security	2.64443014383	0.8741263482	3	1	
sybil_attack	2.64439766949	0.8741048793	3	1	
web_site	2.64428685509	0.8740316215	3	1	
high_performance	2.28980650667	0.873868973	2	1	
complexity_theoretic	2.28979098732	0.8738571276	2	1	
halftone_visual_cryptography	1.3218679779	0.8736674755	0	1	
secret_key	2.64368248003	0.8736321319	3	1	
frequency_domain	2.64345242832	0.8734800926	3	1	
linear_combination	2.64323884263	0.8733389474	3	1	
parity_check	2.64303275909	0.8732027707	3	1	
secret_sharing_scheme	1.61840449663	0.8730777049	2	0	
optical_access_networks	2.28863748781	0.8729769251	2	1	
correlation_immune	2.2883844673	0.8727839117	2	1	
years_ago	0.934170520997	0.8726745623	0	0	
mobile_commerce	2.6421518783	0.8726208185	3	1	
ip_address	2.64175385273	0.8723579273	3	1	
computational_overhead	2.6411618086	0.8719669624	3	1	
lower_bounds	1.61712723247	0.871700162	2	0	
security_issues	2.28650958074	0.8713543438	2	1	
encryption_algorithm	2.63975434039	0.8710378722	3	1	
information_theoretically_secure	1.6164248517	0.8709431004	2	0	
code_based	1.61612142885	0.8706161576	2	0	
constant_query_weak	2.28528651175	0.8704224068	2	1	
physically_observable	1.61590935724	0.8703876836	2	0	
random_numbers	1.86586927409	0.870367037	1	1	
quantum_error_correction	1.86584637889	0.8703456774	3	0	
data_transmission	2.63810618604	0.8699505311	3	1	
visual_cryptography_scheme	2.28450568995	0.8698277079	2	1	
secure_multiparty_computation	2.63691072553	0.8691622718	3	1	
password_guessing	1.61419148911	0.8685380545	2	0	
lattice_based_cryptography	1.86382051496	0.868456728	3	0	
digit_serial	2.28142997473	0.8674871216	2	1	
lattice_problems	2.63364531522	0.8670109558	3	1	
message_digest	2.63362995351	0.8670008415	3	1	
image_processing	2.63343189667	0.8668704443	3	1	
ideal_lattices	2.28058599641	0.8668454145	2	1	
entanglement_swapping	1.86144784434	0.8662470193	3	0	
ntru_ke	1.31584107338	0.8657188652	0	1	
